[DEBUG][ 2018-06-11 19:21:51,440][utils.py][utils][execute][90]: (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[DEBUG][ 2018-06-11 19:21:51,440][utils.py][utils][execute][90]: (0.000) SELECT @@sql_mode; args=None
[DEBUG][ 2018-06-11 19:21:51,440][utils.py][utils][execute][90]: (0.000) SELECT VERSION(); args=None
[DEBUG][ 2018-06-11 19:22:22,392][utils.py][utils][execute][90]: (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[DEBUG][ 2018-06-11 19:22:22,392][utils.py][utils][execute][90]: (0.000) SELECT @@sql_mode; args=None
[DEBUG][ 2018-06-11 19:22:22,392][utils.py][utils][execute][90]: (0.000) SELECT VERSION(); args=None
[DEBUG][ 2018-06-11 19:24:48,033][utils.py][utils][execute][90]: (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[DEBUG][ 2018-06-11 19:24:48,033][utils.py][utils][execute][90]: (0.000) SELECT @@sql_mode; args=None
[DEBUG][ 2018-06-11 19:24:48,035][utils.py][utils][execute][90]: (0.000) SELECT VERSION(); args=None
[DEBUG][ 2018-06-11 19:26:35,519][utils.py][utils][execute][90]: (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[DEBUG][ 2018-06-11 19:26:35,519][utils.py][utils][execute][90]: (0.000) SELECT @@sql_mode; args=None
[DEBUG][ 2018-06-11 19:26:35,519][utils.py][utils][execute][90]: (0.000) SELECT VERSION(); args=None
[DEBUG][ 2018-06-11 19:27:29,467][utils.py][utils][execute][90]: (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[DEBUG][ 2018-06-11 19:27:29,467][utils.py][utils][execute][90]: (0.000) SELECT @@sql_mode; args=None
[DEBUG][ 2018-06-11 19:27:29,467][utils.py][utils][execute][90]: (0.000) SELECT VERSION(); args=None
[DEBUG][ 2018-06-11 19:32:26,720][utils.py][utils][execute][90]: (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[DEBUG][ 2018-06-11 19:32:26,720][utils.py][utils][execute][90]: (0.000) SELECT @@sql_mode; args=None
[DEBUG][ 2018-06-11 19:32:26,720][utils.py][utils][execute][90]: (0.000) SELECT VERSION(); args=None
[DEBUG][ 2018-06-11 19:33:04,992][utils.py][utils][execute][90]: (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[DEBUG][ 2018-06-11 19:33:04,992][utils.py][utils][execute][90]: (0.000) SELECT @@sql_mode; args=None
[DEBUG][ 2018-06-11 19:33:04,992][utils.py][utils][execute][90]: (0.000) SELECT VERSION(); args=None
[DEBUG][ 2018-06-11 19:34:53,911][utils.py][utils][execute][90]: (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[DEBUG][ 2018-06-11 19:34:53,911][utils.py][utils][execute][90]: (0.000) SELECT @@sql_mode; args=None
[DEBUG][ 2018-06-11 19:34:53,911][utils.py][utils][execute][90]: (0.000) SELECT VERSION(); args=None
[DEBUG][ 2018-06-11 19:36:12,828][utils.py][utils][execute][90]: (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[DEBUG][ 2018-06-11 19:36:12,828][utils.py][utils][execute][90]: (0.000) SELECT @@sql_mode; args=None
[DEBUG][ 2018-06-11 19:36:12,828][utils.py][utils][execute][90]: (0.000) SELECT VERSION(); args=None
[DEBUG][ 2018-06-11 19:36:44,970][utils.py][utils][execute][90]: (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[DEBUG][ 2018-06-11 19:36:44,970][utils.py][utils][execute][90]: (0.000) SELECT @@sql_mode; args=None
[DEBUG][ 2018-06-11 19:36:44,970][utils.py][utils][execute][90]: (0.000) SELECT VERSION(); args=None
[DEBUG][ 2018-06-11 19:36:45,062][utils.py][utils][execute][90]: (0.000) SHOW FULL TABLES; args=None
[DEBUG][ 2018-06-11 19:36:45,062][schema.py][schema][execute][127]: CREATE TABLE `django_migrations` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `app` varchar(255) NOT NULL, `name` varchar(255) NOT NULL, `applied` datetime(6) NOT NULL); (params None)
[DEBUG][ 2018-06-11 19:36:45,094][utils.py][utils][execute][90]: (0.031) CREATE TABLE `django_migrations` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `app` varchar(255) NOT NULL, `name` varchar(255) NOT NULL, `applied` datetime(6) NOT NULL); args=None
[DEBUG][ 2018-06-11 19:36:45,094][utils.py][utils][execute][90]: (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'django_migrations'; args=[u'django_migrations']
[DEBUG][ 2018-06-11 19:36:45,109][utils.py][utils][execute][90]: (0.016) SELECT engine FROM information_schema.tables WHERE table_name = 'django_migrations'; args=[u'django_migrations']
[DEBUG][ 2018-06-11 19:36:45,109][utils.py][utils][execute][90]: (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'django_migrations'; args=[u'django_migrations']
[DEBUG][ 2018-06-11 19:36:45,109][utils.py][utils][execute][90]: (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'django_migrations'; args=[u'django_migrations']
[DEBUG][ 2018-06-11 19:36:45,157][utils.py][utils][execute][90]: (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[DEBUG][ 2018-06-11 19:36:45,157][utils.py][utils][execute][90]: (0.000) SHOW FULL TABLES; args=None
[DEBUG][ 2018-06-11 19:36:45,157][utils.py][utils][execute][90]: (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[DEBUG][ 2018-06-11 19:36:45,171][schema.py][schema][execute][127]: CREATE TABLE `django_content_type` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(100) NOT NULL, `app_label` varchar(100) NOT NULL, `model` varchar(100) NOT NULL); (params None)
[DEBUG][ 2018-06-11 19:36:45,203][utils.py][utils][execute][90]: (0.032) CREATE TABLE `django_content_type` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(100) NOT NULL, `app_label` varchar(100) NOT NULL, `model` varchar(100) NOT NULL); args=None
[DEBUG][ 2018-06-11 19:36:45,203][utils.py][utils][execute][90]: (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'django_content_type'; args=[u'django_content_type']
[DEBUG][ 2018-06-11 19:36:45,203][utils.py][utils][execute][90]: (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'django_content_type'; args=[u'django_content_type']
[DEBUG][ 2018-06-11 19:36:45,219][utils.py][utils][execute][90]: (0.015) SELECT engine FROM information_schema.tables WHERE table_name = 'django_content_type'; args=[u'django_content_type']
[DEBUG][ 2018-06-11 19:36:45,219][utils.py][utils][execute][90]: (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'django_content_type'; args=[u'django_content_type']
[DEBUG][ 2018-06-11 19:36:45,234][schema.py][schema][execute][127]: ALTER TABLE `django_content_type` ADD CONSTRAINT `django_content_type_app_label_model_76bd3d3b_uniq` UNIQUE (`app_label`, `model`); (params ())
[DEBUG][ 2018-06-11 19:36:45,266][utils.py][utils][execute][90]: (0.031) ALTER TABLE `django_content_type` ADD CONSTRAINT `django_content_type_app_label_model_76bd3d3b_uniq` UNIQUE (`app_label`, `model`); args=()
[DEBUG][ 2018-06-11 19:36:45,266][utils.py][utils][execute][90]: (0.000) SHOW FULL TABLES; args=None
[DEBUG][ 2018-06-11 19:36:45,266][utils.py][utils][execute][90]: (0.000) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('contenttypes', '0001_initial', '2018-06-11 11:36:45.266000'); args=['contenttypes', u'0001_initial', u'2018-06-11 11:36:45.266000']
